NMAI ARK,NMAI Internal EMu ID,Term,Scope Note,Used for,Language Notes,Entire Tree,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7
http://n2t.net/ark:/65665/sz8cdcb0aea-a08d-4f6e-879a-dde69fb6d967,NMAICulture_291,Lenape (Delaware),,Lenni Lenape,Language Family info:  Algic/Algonquian/Eastern,North America - Woodlands - Mid-Atlantic - Lenape (Delaware),North America,Woodlands,Mid-Atlantic,Lenape (Delaware),,,
http://n2t.net/ark:/65665/sz846c20940-43b7-4346-8c23-22a206d4e5e4,NMAICulture_2979,Machapunga (Pungo River),,,Language Family info:  Algic/Algonquian/Eastern,North America - Woodlands - Mid-Atlantic - Machapunga (Pungo River),North America,Woodlands,Mid-Atlantic,Machapunga (Pungo River),,,
http://n2t.net/ark:/65665/sz81badb229-92aa-4914-9aa0-724707749378,NMAICulture_1505,"Nanticoke [Six Nations of the Grand River, Brantford, Ontario]",,Ohsweken,Language Family info:  Algic/Algonquian/Eastern,"North America - Woodlands - Mid-Atlantic - Nanticoke - Nanticoke [Six Nations of the Grand River, Brantford, Ontario]",North America,Woodlands,Mid-Atlantic,Nanticoke,"Nanticoke [Six Nations of the Grand River, Brantford, Ontario]",,
http://n2t.net/ark:/65665/sz80eb2e0c5-a049-4053-8a3a-1d7787d9b30b,NMAICulture_344,Nanticoke,,,Language Family info:  Algic/Algonquian/Eastern,North America - Woodlands - Mid-Atlantic - Nanticoke,North America,Woodlands,Mid-Atlantic,Nanticoke,,,
http://n2t.net/ark:/65665/sz8bef25890-65ef-4057-ac51-94293d5e0c95,NMAICulture_2665,Paleoindian Tradition: Clovis (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Paleoindian Tradition (archaeological culture) - Paleoindian Tradition: Clovis (archaeological culture),North America,Woodlands,Mid-Atlantic,Paleoindian Tradition (archaeological culture),Paleoindian Tradition: Clovis (archaeological culture),,
http://n2t.net/ark:/65665/sz8165d8379-3531-414e-a7ea-bbe5739c0b46,NMAICulture_2666,Paleoindian Tradition: Folsom (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Paleoindian Tradition (archaeological culture) - Paleoindian Tradition: Folsom (archaeological culture),North America,Woodlands,Mid-Atlantic,Paleoindian Tradition (archaeological culture),Paleoindian Tradition: Folsom (archaeological culture),,
http://n2t.net/ark:/65665/sz84c137c23-5e38-49f7-ac03-228d9b10289f,NMAICulture_2667,Paleoindian Tradition: Plano (archaeological culture),,,,North America - Woodlands - Mid-Atlantic - Paleoindian Tradition (archaeological culture) - Paleoindian Tradition: Plano (archaeological culture),North America,Woodlands,Mid-Atlantic,Paleoindian Tradition (archaeological culture),Paleoindian Tradition: Plano (archaeological culture),,
http://n2t.net/ark:/65665/sz895ed2b89-3dd0-422b-bd63-65717c4174f4,NMAICulture_2664,Paleoindian Tradition (archaeological culture),,Paleo-Indian,,North America - Woodlands - Mid-Atlantic - Paleoindian Tradition (archaeological culture),North America,Woodlands,Mid-Atlantic,Paleoindian Tradition (archaeological culture),,,
http://n2t.net/ark:/65665/sz8d8f72592-1cfb-4f41-8bb4-1fac63173ecf,NMAICulture_389,Piscataway (Conoy),,,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Piscataway (Conoy),North America,Woodlands,Mid-Atlantic,Piscataway (Conoy),,,
http://n2t.net/ark:/65665/sz83f112597-4a9a-4613-b065-14e087ef721e,NMAICulture_532,Accomac,,Accomack,Language Family info:  Algic/Algonquian,North America - Woodlands - Mid-Atlantic - Powhatan - Accomac,North America,Woodlands,Mid-Atlantic,Powhatan,Accomac,,
